"districtid";"districtname";"stateid"
476;"Kalahandi";26
477;"Kandhamal";26
478;"Kendrapara";26
479;"Kendujhar";26
480;"Khordha";26
481;"Koraput";26
482;"Malkangiri";26
483;"Mayurbhanj";26
484;"Nabarangpur";26
485;"Nayagarh";26
486;"Nuapada";26
487;"Puri";26
488;"Rayagada";26
489;"Sambalpur";26
490;"Subarnapur";26
491;"Sundargarh";26
492;"Karaikal";27
493;"Mahe";27
494;"Puducherry";27
495;"Yanam";27
496;"Amritsar";28
497;"Barnala";28
498;"Bathinda";28
499;"Faridkot";28
500;"Fatehgarh Sahib";28
501;"Fazilka";28
502;"Ferozepur";28
503;"Gurdaspur";28
504;"Hoshiarpur";28
505;"Jalandhar";28
506;"Kapurthala";28
507;"Ludhiana";28
508;"Malerkotla";28
509;"Mansa";28
510;"Moga";28
511;"Pathankot";28
512;"Patiala";28
513;"Rupnagar";28
514;"Sangrur";28
515;"SAS Nagar";28
516;"Shaheed Bhagat Singh Nagar";28
517;"Sri Muktsar Sahib";28
518;"Tarn Taran";28
519;"Ajmer";29
520;"Alwar";29
521;"Anupgarh";29
522;"Balotra";29
523;"Banswara";29
524;"Baran";29
525;"Barmer";29
526;"Beawar";29
527;"Bharatpur";29
528;"Bhilwara";29
529;"Bikaner";29
530;"Bundi";29
531;"Chittorgarh";29
532;"Churu";29
533;"Dausa";29
534;"Deedwana Kuchaman";29
535;"Deeg";29
536;"Dholpur";29
537;"Dudu";29
538;"Dungarpur";29
539;"Gangapur City";29
540;"Hanumangarh";29
541;"Jaipur";29
542;"Jaipur Rural";29
543;"Jaisalmer";29
544;"Jalore";29
545;"Jhalawar";29
546;"Jhunjhunu";29
547;"Jodhpur";29
548;"Jodhpur Rural";29
549;"Karauli";29
550;"Kekri";29
551;"Khairthal Tijara";29
552;"Kota";29
553;"Kotputli Behror";29
554;"Nagaur";29
555;"Neem Ka Thana";29
556;"Pali";29
557;"Phalodi";29
558;"Pratapgarh";29
559;"Rajsamand";29
560;"Salumber";29
561;"Sanchore";29
562;"Sawai Madhopur";29
563;"Shahpura";29
564;"Sikar";29
565;"Sirohi";29
566;"Sri Ganganagar";29
567;"Tonk";29
568;"Udaipur";29
569;"Gangtok";30
570;"Gyalshing";30
571;"Mangan";30
572;"Namchi";30
573;"Pakyong";30
574;"Soreng";30
575;"Ariyalur";31
576;"Chengalpattu";31
577;"Chennai";31
578;"Coimbatore";31
579;"Cuddalore";31
580;"Dharmapuri";31
581;"Dindigul";31
582;"Erode";31
583;"Kallakurichi";31
584;"Kancheepuram";31
585;"Kanniyakumari";31
586;"Karur";31
587;"Krishnagiri";31
588;"Madurai";31
589;"Mayiladuthurai";31
590;"Nagapattinam";31
591;"Namakkal";31
592;"Perambalur";31
593;"Pudukkottai";31
594;"Ramanathapuram";31
595;"Ranipet";31
596;"Salem";31
597;"Sivaganga";31
598;"Tenkasi";31
599;"Thanjavur";31
600;"The Nilgiris";31
601;"Theni";31
602;"Thoothukudi";31
603;"Tiruchirappalli";31
604;"Tirunelveli";31
605;"Tirupathur";31
606;"Tiruppur";31
607;"Tiruvallur";31
608;"Tiruvannamalai";31
609;"Tiruvarur";31
610;"Vellore";31
611;"Viluppuram";31
612;"Virudhunagar";31
613;"Adilabad";32
614;"Bhadradri Kothagudem";32
615;"Hanumakonda";32
616;"Hyderabad";32
617;"Jagtial";32
618;"Jangaon";32
619;"Jayashankar Bhupalpally";32
620;"Jogulamba Gadwal";32
621;"Kamareddy";32
622;"Karimnagar";32
623;"Khammam";32
624;"Kumuram Bheem Asifabad";32
625;"Mahabubabad";32
626;"Mahabubnagar";32
627;"Mancherial";32
628;"Medak";32
629;"Medchal Malkajgiri";32
630;"Mulugu";32
631;"Nagarkurnool";32
632;"Nalgonda";32
633;"Narayanpet";32
634;"Nirmal";32
635;"Nizamabad";32
636;"Peddapalli";32
637;"Rajanna Sircilla";32
638;"Rangareddy";32
639;"Sangareddy";32
640;"Siddipet";32
641;"Suryapet";32
642;"Vikarabad";32
643;"Wanaparthy";32
644;"Warangal";32
645;"Yadadri Bhuvanagiri";32
646;"Dhalai";33
647;"Gomati";33
648;"Khowai";33
649;"North Tripura";33
650;"Sepahijala";33
651;"South Tripura";33
652;"Unakoti";33
653;"West Tripura";33
654;"Agra";34
655;"Aligarh";34
656;"Ambedkar Nagar";34
657;"Amethi";34
658;"Amroha";34
659;"Auraiya";34
660;"Ayodhya";34
661;"Azamgarh";34
662;"Bagpat";34
663;"Bahraich";34
664;"Ballia";34
665;"Balrampur";34
666;"Banda";34
667;"Barabanki";34
668;"Bareilly";34
669;"Basti";34
670;"Bhadohi";34
671;"Bijnor";34
672;"Budaun";34
673;"Bulandshahr";34
674;"Chandauli";34
675;"Chitrakoot";34
676;"Deoria";34
677;"Etah";34
678;"Etawah";34
679;"Farrukhabad";34
680;"Fatehpur";34
681;"Firozabad";34
682;"Gautambuddha Nagar";34
683;"Ghaziabad";34
684;"Ghazipur";34
685;"Gonda";34
686;"Gorakhpur";34
687;"Hamirpur";34
688;"Hapur";34
689;"Hardoi";34
690;"Hathras";34
691;"Jalaun";34
692;"Jaunpur";34
693;"Jhansi";34
694;"Kannauj";34
695;"Kanpur Dehat";34
696;"Kanpur Nagar";34
697;"Kasganj";34
698;"Kaushambi";34
699;"Kushinagar";34
700;"Lakhimpur Kheri";34
701;"Lalitpur";34
702;"Lucknow";34
703;"Maharajganj";34
704;"Mahoba";34
705;"Mainpuri";34
706;"Mathura";34
707;"Mau";34
708;"Meerut";34
709;"Mirzapur";34
710;"Moradabad";34
711;"Muzaffarnagar";34
712;"Pilibhit";34
713;"Pratapgarh";34
714;"Prayagraj";34
715;"Raebareli";34
716;"Rampur";34
717;"Saharanpur";34
718;"Sambhal";34
719;"Sant Kabir Nagar";34
720;"Shahjahanpur";34
721;"Shamli";34
722;"Shravasti";34
723;"Siddharthnagar";34
724;"Sitapur";34
725;"Sonbhadra";34
726;"Sultanpur";34
727;"Unnao";34
728;"Varanasi";34
729;"Almora";35
730;"Bageshwar";35
731;"Chamoli";35
732;"Champawat";35
733;"Dehradun";35
734;"Haridwar";35
735;"Nainital";35
736;"Pauri Garhwal";35
737;"Pithoragarh";35
738;"Rudraprayag";35
739;"Tehri Garhwal";35
740;"Udham Singh Nagar";35
741;"Uttarkashi";35
742;"Alipurduar";36
743;"Bankura";36
744;"Birbhum";36
745;"Cooch Behar";36
746;"Dakshin Dinajpur";36
747;"Darjeeling";36
748;"Hooghly";36
749;"Howrah";36
750;"Jalpaiguri";36
751;"Jhargram";36
752;"Kalimpong";36
753;"Kolkata";36
754;"Malda";36
755;"Murshidabad";36
756;"Nadia";36
757;"North Twenty Four Parganas";36
758;"Paschim Bardhaman";36
759;"Paschim Medinipur";36
760;"Purba Bardhaman";36
761;"Purba Medinipur";36
762;"Purulia";36
763;"South Twenty Four Parganas";36
764;"Uttar Dinajpur";36
765;"Barddhaman";36
